user_id,round,level,spawn_time(ms),radius(px),target_sequence,clicked_sequence,response_times (ms),correct_clicks,missed_clicks,incorrect_clicks,total_time (ms),frustration_score
U18,7,1,1329,61,6 5 3 1 7 1 5 5,6 9 7 5 3 4 2 6,960 951 935 886 223 741 506 1138,8,0,1,6340,3.88
U18,10,4,758,71,3 6 5 2,2 2 2 1,539 217 504 540,2,2,0,1800,1.78
U09,4,1,1158,48,7 1 5 8,5 9 6 3,961 1174 494 506,2,2,0,3135,2.31
U05,9,3,1251,51,7 5 7,7 3 2,567 1171 638,2,1,2,2376,2.77
U08,10,4,777,71,9 2 7 2 5 1 8,9 7 1 7 6 3 4,859 305 1150 240 1133 682 842,7,0,0,5211,2.66
U15,3,1,1011,80,8 8 9 8 9 4 2,6 3 4 7 8 7 2,860 742 1097 1103 352 1057 633,7,0,0,5844,2.44
U01,4,4,1321,23,1 8 7 4 4,9 3 9 1 4,261 903 440 976 770,4,1,1,3350,2.9
U09,7,1,1008,45,5 5 6 9,2 2 3 8,608 596 1135 450,4,0,1,2789,1.47
U19,1,4,598,55,9 3 3 4 2 1 9 4 8,9 8 5 4 8 7 2 3 2,976 331 541 781 1099 307 1045 973 214,8,1,1,6267,4.12
U12,7,2,1242,40,4 2 7 9 6 2 8 5 5,6 6 5 3 2 3 4 2 9,1178 954 1028 1151 413 530 1044 640 758,7,2,0,7696,4.54
U07,1,3,708,37,4 2 5 5,5 8 8 8,424 1031 510 1113,4,0,1,3078,1.42
U01,7,4,1484,33,6 8 8 3 1 4 3 4,3 3 7 1 3 9 4 2,668 912 1179 733 833 1089 1155 577,6,2,2,7146,5.64
U20,9,1,1218,40,2 5 8 9 6,5 3 9 2 9,1083 472 250 955 444,3,2,2,3204,3.04
U16,6,1,1123,23,6 9 3,8 8 6,619 435 441,1,2,2,1495,2.79
U05,1,4,1095,52,9 6 9 6 2,4 3 2 8 3,720 364 513 216 969,3,2,2,2782,2.88
U13,9,3,1061,31,3 9 3 8 7 3 9 4 5,2 4 5 5 4 2 9 7 3,208 843 464 704 401 289 1013 1102 302,9,0,0,5326,2.4
U16,3,3,874,74,9 1 4,8 9 4,632 1082 749,1,2,0,2463,2.44
U07,6,4,535,78,1 9 5 8 3,4 1 9 3 2,760 419 654 940 402,4,1,1,3175,2.72
U02,8,2,798,57,3 3 4 6 6 8 9,5 4 1 4 8 7 1,1047 392 537 277 1159 235 554,5,2,0,4201,3.38
U12,4,3,662,56,1 7 9 9 6 2 3 3 6,3 6 3 6 9 9 4 2 2,670 795 726 497 797 431 726 678 863,9,0,0,6183,3.02
U15,7,2,954,30,3 8 4 4 9 2 7 5 8,9 3 6 6 1 6 6 8 6,652 453 1141 993 883 786 877 856 657,8,1,2,7298,4.33
U20,9,3,1479,22,5 1 3 7 3 8,3 9 3 1 4 6,735 280 658 339 1100 870,6,0,1,3982,2.75
U13,10,1,1433,52,8 4 1 6 6,4 4 8 4 5,772 848 516 771 204,4,1,2,3111,2.33
U02,6,2,1307,47,1 4 8 1,6 1 8 9,289 600 453 806,4,0,1,2148,1.37
U12,6,4,876,59,9 9 1 6 2,2 9 7 8 2,276 1143 480 820 614,3,2,0,3333,3.05
U07,9,2,1387,25,2 7 3 5,6 2 8 3,743 727 892 891,3,1,0,3253,1.96
U10,3,1,1348,73,3 8 9 1 1 4 9 8,9 1 2 1 5 9 3 5,794 716 315 995 1056 790 1180 514,7,1,0,6360,3.34
U05,7,2,1295,69,8 5 5,5 3 3,400 381 325,2,1,1,1106,1.81
U13,8,1,1254,23,3 9 9 7 4 3 3 3,9 5 2 7 2 8 5 1,1036 610 825 1023 301 858 608 1153,8,0,1,6414,3.6
U14,2,4,1229,28,8 2 3 5 8 4 7,3 3 9 1 8 5 7,421 689 981 1058 627 606 771,5,2,2,5153,3.76
U12,10,1,531,70,9 6 1 9 2 1 2,5 3 1 5 8 7 6,402 665 1063 323 1151 732 771,5,2,0,5107,3.96
U04,1,2,632,43,9 6 1 2 5,4 9 1 5 3,498 233 712 649 461,5,0,0,2553,0.86
U01,9,3,1285,37,8 2 2 8,4 1 6 6,222 1077 552 788,3,1,2,2639,2.43
U04,8,1,955,21,6 1 7 9 3,1 6 4 8 5,411 301 697 933 267,5,0,2,2609,1.97
U13,2,2,1150,60,7 1 2 8 3 8 7 1,7 7 2 7 1 7 3 1,505 1093 980 677 832 1080 945 636,8,0,0,6748,3.28
U11,2,2,718,54,1 2 1 4 4 2 3 1 4,5 9 4 5 7 2 7 3 5,1150 204 294 690 633 240 836 542 323,9,0,1,4912,2.33
U14,3,2,1062,53,6 6 7 8 9 7 7,2 1 3 8 9 5 6,799 331 378 579 742 1130 621,6,1,1,4580,2.6
U10,1,3,502,53,7 8 7 2 9,9 7 5 7 9,969 663 917 1186 594,4,1,0,4329,2.29
U16,4,1,617,28,3 6 9 8,1 2 3 8,758 1001 948 649,4,0,2,3356,2.05
U13,8,2,1483,53,4 4 5 4,6 6 8 4,1036 907 329 256,4,0,2,2528,2.25
U17,9,3,1402,80,6 5 3 4 2 8,9 3 8 7 8 8,699 576 998 462 593 1128,6,0,1,4456,2.46
U17,10,4,1175,35,7 1 4 3 3 8 9,2 3 8 2 7 8 8,1181 449 337 222 1110 436 768,6,1,2,4503,3.69
U14,4,4,1268,71,4 4 7 7 1 7 9 4,1 5 7 4 8 2 6 3,496 268 416 789 372 942 281 267,7,1,0,3831,2.82
U07,4,2,557,79,2 7 2 4 5,8 2 7 2 3,419 1179 1112 698 398,4,1,0,3806,2.15
U20,9,4,957,64,7 5 6 5 4 2 8,7 5 4 5 5 2 5,299 666 540 381 277 980 769,7,0,2,3912,2.14
U08,10,4,1308,39,5 5 2 2 4 6 2 6 9,6 5 3 6 7 9 4 3 8,928 392 487 1104 479 772 251 507 844,7,2,2,5764,4.71
U17,4,3,1444,37,7 8 1 1 6 1 3,3 1 4 5 9 7 2,322 522 727 466 548 1170 203,5,2,2,3958,3.16
U04,5,3,1215,38,5 3 2 3 3,4 8 8 2 1,908 806 1144 1086 755,5,0,0,4699,2.32
U04,7,4,796,47,8 3 5 4 4 2,6 4 9 8 2 6,601 917 501 389 263 585,4,2,0,3256,2.65
U20,8,3,1455,33,3 6 7 6 2 8,8 4 2 5 7 2,581 1104 750 772 1078 432,4,2,1,4717,3.19
U07,9,4,539,64,8 2 3 2 7 9 4,9 3 7 6 7 6 4,378 410 304 529 599 863 568,7,0,2,3651,2.32
U11,1,3,1183,31,9 8 7,6 5 9,644 395 232,2,1,1,1271,1.41
U15,5,4,968,79,2 5 6 6 5,2 1 8 7 4,552 787 1042 566 483,3,2,2,3430,3.01
U03,8,4,1070,75,9 6 5,7 5 2,373 800 947,3,0,1,2120,1.31
U07,1,2,848,26,4 6 1 4 7 5 6 7,9 4 2 4 1 8 2 4,222 1003 1184 980 514 1032 1015 1081,8,0,0,7031,3.67
U17,3,3,716,79,6 4 5 5,5 7 4 7,303 775 713 844,2,2,2,2635,3.41
U08,7,3,669,40,8 7 1 1 8 5 5 7,3 8 9 1 1 1 3 4,848 533 1041 1027 724 337 1091 403,7,1,2,6004,4.19
U01,4,2,716,27,5 6 6 8 8 2 7 9 9,8 7 2 3 4 7 9 8 5,334 782 1163 703 1050 480 1004 657 867,7,2,2,7040,4.9
U15,3,3,813,23,8 1 8 4 9 1 8 1,8 9 2 3 9 9 5 7,370 923 922 1115 885 434 1102 938,8,0,0,6689,3.47
U15,7,4,1222,59,5 9 7 9 5,6 3 9 4 2,645 693 655 1045 1140,3,2,0,4178,2.97
U18,10,1,1247,34,4 2 9 5 6 4 6,2 2 6 4 3 4 9,1073 291 1092 373 782 869 1193,6,1,2,5673,4.37
U16,3,3,867,28,3 5 8,6 9 4,492 802 256,1,2,2,1550,2.55
U19,7,1,1488,44,9 1 4,3 2 7,891 839 696,3,0,2,2426,1.93
U04,8,2,1264,41,1 8 1 3 6 9 7 9,2 6 3 4 9 7 5 4,819 320 697 574 369 422 326 1061,6,2,2,4588,4.14
U01,4,2,1272,64,2 2 8 5 3 9 2,2 4 4 9 5 6 1,1045 739 266 412 1068 651 399,5,2,2,4580,3.71
U15,8,1,1219,35,3 7 8 1 5 2 6 9 4,7 6 7 4 7 4 5 9 1,955 603 539 458 785 1161 1077 740 759,8,1,0,7077,3.64
U08,4,4,520,78,3 1 5 2 9 3 7 7 6,9 4 6 4 4 3 5 6 6,247 1031 723 733 585 342 1109 465 935,9,0,2,6170,3.55
U02,4,1,1102,42,6 7 3 3,2 5 2 1,1042 392 560 1005,3,1,0,2999,2.28
U20,9,4,946,32,1 4 8 4 2 2 1 2,1 5 3 9 4 1 6 5,248 384 1033 703 1132 885 596 911,6,2,2,5892,4.18
U12,5,4,897,55,5 5 1 4 6 2 6,7 4 9 5 9 1 9,852 282 203 413 327 941 508,5,2,1,3526,3.55
U17,2,3,1334,47,2 9 4 5 5 8,2 8 5 6 5 7,771 1137 1115 509 346 847,6,0,2,4725,2.86
U15,10,2,514,56,1 9 5 5,3 3 6 5,816 944 971 724,2,2,1,3455,2.72
U10,5,2,616,40,6 1 6 6,7 5 6 7,718 214 1146 498,2,2,2,2576,2.47
U09,8,3,871,21,5 1 9 4 4 1 4 5,1 7 3 1 6 4 1 5,1132 543 305 817 430 711 765 214,8,0,2,4917,3.2
U08,10,3,877,34,2 5 5,5 2 2,883 1103 285,1,2,1,2271,2.11
U20,1,2,1231,26,8 5 6 7 6,1 3 1 4 5,283 898 746 720 270,4,1,1,2917,2.55
U20,4,3,698,33,7 9 6 8 4 3 3,6 9 4 1 2 4 2,1035 1031 458 927 768 709 479,7,0,0,5407,2.52
U18,4,2,974,32,4 3 8 7 5,2 1 3 2 9,409 244 293 1039 829,3,2,2,2814,3.43
U15,2,3,782,62,3 5 4 5 3 8 4,2 5 1 5 1 1 4,339 796 529 861 1017 684 571,5,2,2,4797,3.86
U12,9,1,1081,76,9 2 2,9 2 9,460 214 966,3,0,0,1640,0.97
U08,7,2,777,35,1 7 9 7,4 6 2 6,379 458 1088 1113,3,1,1,3038,2.35
U20,10,2,992,64,2 3 1 1 7 5 5,2 7 4 4 6 7 8,968 597 746 779 1089 806 1095,6,1,2,6080,4.51
U02,9,2,564,45,9 6 1 2 8 6 7 8 6,1 5 4 7 4 2 8 8 2,325 857 937 362 606 956 655 659 300,8,1,1,5657,3.64
U05,6,4,625,61,6 4 8 6,4 2 6 7,675 640 524 325,4,0,2,2164,1.23
U10,6,3,1284,63,9 3 3 2,9 7 9 7,206 242 499 417,2,2,0,1364,2.14
U09,6,2,1490,78,8 2 8 1 3 1 5,6 8 9 6 8 5 8,519 1091 1187 255 843 977 275,5,2,2,5147,4.27
U14,9,4,826,47,5 6 4 2 1 4 8 2,6 2 5 4 3 4 8 8,808 499 796 1059 432 875 695 604,8,0,2,5768,3.4
U01,1,1,1049,74,8 2 6 9 9 3,8 3 9 5 7 3,1107 912 1138 1184 968 444,6,0,0,5753,2.72
U14,5,1,828,24,6 6 1 7 6 6,6 5 2 7 3 7,502 550 1052 861 812 856,4,2,1,4633,3.3
U04,1,1,740,39,8 6 4 4 3 6 2 3 3,4 4 3 1 7 5 3 7 1,1088 986 618 994 592 279 473 211 331,9,0,2,5572,2.89
U02,5,4,1219,26,9 3 4 4 6,8 8 8 7 7,805 1180 740 596 419,3,2,2,3740,3.13
U06,2,2,801,43,9 8 1 7,4 7 9 6,370 638 304 693,3,1,2,2005,2.35
U18,1,4,517,41,4 6 1 9 5 7 3 5,2 6 5 9 4 9 7 5,668 566 1094 470 416 560 672 402,8,0,2,4848,2.54
U12,5,4,1355,62,5 5 1 5 8 1 1 2,2 3 8 1 1 4 3 4,866 289 877 1164 330 429 691 374,6,2,0,5020,3.25
U10,6,1,1492,70,6 2 9 7 1,7 7 7 4 7,994 440 894 763 270,4,1,0,3361,2.65
U01,10,4,598,39,8 5 7 5 1 4 8,9 4 9 6 8 4 6,501 627 1139 919 1092 1082 837,6,1,1,6197,4.05
U03,6,3,911,27,9 3 3,6 2 8,553 333 294,1,2,0,1180,1.21
U11,2,4,740,59,9 8 2 8 4 3 5,5 4 7 7 9 2 1,426 685 500 779 454 548 900,5,2,1,4292,3.18
U11,10,4,1046,76,4 9 2 4 9 7 7 7,5 7 5 4 6 1 1 7,914 391 240 862 286 1097 581 1174,7,1,0,5545,3.38
U01,1,3,786,51,5 5 2,5 9 5,1098 217 264,1,2,2,1579,2.88
U20,8,3,702,58,3 8 9 1,8 2 9 2,434 937 491 730,4,0,0,2592,1.68
U14,7,2,934,48,2 8 8 2 5 2 9 8 8,7 6 3 1 1 2 5 1 6,613 1186 648 745 1098 330 644 713 433,9,0,2,6410,4.0
U14,1,3,880,65,8 4 4 9 7 3 5 7,3 7 1 7 3 7 3 9,650 874 954 601 1127 821 995 311,8,0,0,6333,3.65
U02,4,2,1299,32,7 3 7,4 8 9,953 814 994,2,1,1,2761,1.72
U17,2,1,1382,78,6 3 7 8 5 7 4,7 5 5 2 4 1 7,572 784 896 343 241 1082 501,7,0,1,4419,2.15
U10,9,3,659,25,3 3 9 4 9 2 1 1 6,1 6 5 9 4 3 5 9 2,745 584 874 273 690 353 999 634 1037,8,1,1,6189,3.79
U03,10,2,1373,57,2 3 5 6,6 4 5 6,748 383 589 483,4,0,0,2203,1.09
U13,4,4,697,71,6 3 6 2 7 7,6 6 7 8 9 1,1058 510 760 429 376 1151,4,2,2,4284,3.7
U06,8,4,965,54,3 1 8 5 7 3 8 7,7 4 8 2 1 7 2 4,254 535 944 1057 426 372 331 243,7,1,1,4162,3.04
U05,2,2,1293,52,1 8 8 8 7 4 6 3,9 3 5 9 2 5 3 5,505 1140 376 576 741 1023 448 1157,8,0,2,5966,3.36
U02,1,2,1450,37,2 9 1 5 2,2 8 1 9 5,815 335 419 498 541,5,0,0,2608,1.25
U11,6,2,1453,55,3 3 6 7 4 5 1,3 4 6 8 1 3 7,327 266 492 868 719 803 401,6,1,1,3876,2.34
U03,10,4,1295,79,3 1 1 9 6 5,1 5 7 3 2 1,387 349 877 825 689 575,6,0,0,3702,2.27
U11,5,1,874,43,6 9 9 3 6 1 6,2 6 2 2 6 2 1,723 643 442 973 241 461 830,5,2,0,4313,2.77
U02,5,1,948,55,9 5 9 4,5 9 5 1,771 521 341 374,3,1,1,2007,1.67
U01,7,4,1242,28,2 9 2,7 4 1,754 1038 441,3,0,1,2233,0.98
U05,9,1,901,35,6 1 5 8 1,7 6 1 8 5,1020 870 713 551 748,5,0,0,3902,1.84
U20,2,2,697,25,2 5 2 3,8 5 7 6,770 548 1168 1108,3,1,1,3594,2.11
U07,2,4,1070,74,7 8 8 3 6,1 8 4 3 2,746 1193 381 879 670,4,1,0,3869,2.92
U13,2,2,1192,71,2 1 6 6 5,9 3 2 2 5,700 1110 671 1077 991,5,0,2,4549,2.75
U03,3,1,1356,26,4 8 9 2 9 8 6 2,4 7 5 2 1 2 4 3,787 380 210 529 295 409 341 1154,7,1,2,4105,3.45
U13,2,1,1390,28,2 8 9 6,1 1 3 7,820 500 731 648,3,1,0,2699,1.36
U19,7,2,1396,60,1 6 5 6,9 2 7 7,389 1087 626 516,3,1,1,2618,2.51
U11,10,1,1209,61,6 5 9 3 1 7 8 6 7,7 2 4 4 9 9 4 9 1,1111 566 533 500 481 335 549 240 1168,9,0,0,5483,2.95
U10,1,4,1159,22,2 2 9 4 9 8 3 2 1,5 4 6 7 1 3 2 2 6,755 380 547 983 795 1163 944 577 701,9,0,0,6845,3.59
U11,8,4,1196,66,4 1 4 1 9 9,9 5 3 7 5 4,574 245 551 859 405 370,6,0,1,3004,1.71
U07,7,3,837,66,8 6 1 3 5 8,6 7 9 1 5 3,911 503 283 975 983 701,4,2,1,4356,3.08
U08,6,2,636,21,1 5 9 8 1 1 1 4 3,2 8 2 2 2 9 4 5 5,718 323 511 212 656 253 1120 342 556,9,0,2,4691,2.91
U19,8,2,1300,60,2 6 7,1 5 3,202 422 1010,3,0,0,1634,1.24
U02,10,2,1290,29,7 8 4 9,3 5 1 6,492 859 758 214,3,1,1,2323,2.43
U10,4,2,1491,35,9 9 5 5 2,3 2 2 1 1,799 1017 215 785 789,5,0,2,3605,2.55
U03,8,3,1454,46,7 4 9,1 4 2,782 755 334,1,2,1,1871,2.27
U17,10,1,641,37,9 8 1 4 3 7 9,7 5 5 2 9 7 9,569 528 933 1144 850 489 807,7,0,1,5320,3.44
U14,4,1,1459,73,6 8 5 5 2 6,9 8 7 2 1 6,1122 537 796 995 895 361,6,0,0,4706,2.7
U11,4,3,745,34,6 6 3 4,4 6 2 4,551 1033 1052 861,4,0,2,3497,2.6
U12,5,4,1265,48,7 6 8 1 9 4 5 6 1,7 8 1 4 6 9 4 7 8,517 388 487 639 942 594 688 897 1128,8,1,1,6280,4.34
U12,4,1,1042,29,1 9 5 2 2 4 9 2,9 4 9 6 1 8 7 9,1001 856 1086 352 1194 922 714 1107,7,1,0,7232,4.55
U15,8,2,1233,52,6 4 6 4 1 3 1 4,1 1 1 6 3 8 5 3,743 721 1014 704 1071 206 520 241,6,2,0,5220,3.96
U19,5,3,1249,30,5 2 4,4 4 9,421 591 495,2,1,0,1507,1.55
U16,1,2,952,55,9 5 5 9,5 1 9 3,682 692 684 786,2,2,2,2844,3.4
U07,4,4,800,33,3 4 1 6 5 8 6,1 3 1 9 4 8 3,741 980 687 423 595 725 977,7,0,0,5128,2.54
U07,10,4,1053,44,6 7 6 7,4 1 1 2,1116 217 254 843,3,1,2,2430,2.34
U06,5,3,1271,28,5 4 8 8 3 7 2,7 2 2 9 6 3 7,316 1021 494 643 596 665 1087,6,1,0,4822,3.33
